System code ,Sytsem name,School name,Zip Code ,    Total population,      Male,      Female,      Median age (years),    Total population,      Hispanic or Latino (of any race),        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some other race alone,        Two or more races,  Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",      Male,      Female,Population density ,Bachelor's degree or higher,Graduate or professional degree ,Unemployed,Now married,Average Adjusted Gross Income (AGI) 2013,ELA Number Tested,ELA % Beginning Learner,ELA % Developing Learner,ELA % Proficient Learner,ELA % Distinguished Learner,MATH Number Tested,MATH % Beginning Learner,MATH % Developing Learner,MATH % Proficient Learner,MATH % Distinguished Learner,SCI Number Tested,SCI % Beginning Learner,SCI % Developing Learner,SCI % Proficient Learner,SCI % Distinguished Learner,SS Number Tested,SS % Beginning Learner,SS % Developing Learner,SS % Proficient Learner,SS % Distinguished Learner
,Gwinnett,Sugar Hill ,30518,"48,445","23,858","24,587",35.6,"48,445","9,961","28,594","5,292",37,"2,969",0,102,"1,490","17,442",,"29,709","14,138","15,571",1,31.8,10.5,8.1,54.6,58110,214,16.4,28.5,32.7,22.4,215,11.6,35.8,40.5,12.1,215,15.8,34.4,30.7,19.1,214,20.6,39.3,28.5,11.7
,Gwinnett,Ivy Creek ,30519,"42,904","22,068","20,836",36.1,"42,904","4,607","26,721","7,074",77,"3,155",0,0,"1,270","13,880",,"28,203","14,345","13,858",1,38.2,11.8,6.9,55.7,61473,154,16.2,24.0,36.4,23.4,154,5.8,37.7,43.5,13.0,154,9.7,35.1,36.4,18.8,154,12.3,29.9,33.8,24.0
,Cobb ,Belmont Hills ,30080,"54,407","25,618","28,789",33.1,"54,407","9,808","22,804","16,302",46,"4,226",101,73,"1,047","27,335",,"35,694","16,060","19,634",2,51.4,19.6,6.8,44.4,64782,52,59.6,30.8,7.7,1.9,54,38.9,44.4,16.7,0.0,54,50.0,38.9,7.4,3.7,52,50.0,40.4,7.7,1.9
,Cobb ,Milford,30008,"32,905","16,893","16,012",31.0,"32,905","9,489","8,645","13,030",7,948,0,44,742,"11,594",,"18,916","9,498","9,418",2,23.5,6.7,13.6,40.2,35852,78,42.3,34.6,16.7,6.4,79,30.4,41.8,24.1,3.8,79,38.0,54.4,7.6,0.0,78,34.6,50.0,15.4,0.0
,Cobb ,Compton ,30127,"61,283","29,254","32,029",39.2,"61,283","5,271","30,430","22,778",17,"1,386",0,179,"1,222","21,905",,"42,433","19,866","22,567",1,34.8,11.5,8.7,57.5,57242,89,52.8,27.0,20.2,0.0,89,34.8,51.7,13.5,0.0,89,51.7,38.2,9.0,1.1,89,50.6,44.9,4.5,0.0
,Cobb ,Due West ,30064,"46,678","22,146","24,532",41.2,"46,678","3,508","30,698","10,134",0,"1,341",68,11,918,"18,678",,"33,665","15,615","18,050",1,45.2,16,8.4,60.5,89061,109,15.6,18.3,42.2,23.9,109,7.3,33.0,48.6,11.0,109,11.0,25.7,44.0,19.3,109,13.8,35.8,30.3,20.2
,Paulding ,Burnt Hickory ,30132,"36,238","17,571","18,667",34.9,"36,238","2,085","26,077","6,745",188,439,24,112,568,"13,072",,"25,291","11,967","13,324",0,25.6,9.3,10.1,54.8,51993,163,16.6,38.7,31.3,13.5,163,3.1,35.6,38.7,22.7,163,9.8,36.8,31.9,21.5,163,8.0,44.8,23.3,23.9
,Paulding ,Sara M Ragsdale ,30153,"18,045","8,634","9,411",36.2,"18,045",239,"14,310","3,121",9,240,0,0,126,"7,510",,"13,244","6,286","6,958",0,15.1,7.2,9.9,55.1,40078,121,28.9,43.8,19.8,7.4,121,15.7,51.2,29.8,3.3,121,22.3,48.8,19.8,9.1,120,30.0,44.2,20.0,5.8
,Paulding ,New Georgia ,30180,"34,754","17,186","17,568",36.1,"34,754","1,907","23,072","7,758",0,528,0,81,"1,408","13,752",,"24,731","12,016","12,715",1,22.5,7.3,9.7,55.4,50868,62,30.6,27.4,30.6,11.3,62,22.6,32.3,35.5,9.7,62,30.6,33.9,32.3,3.2,62,19.4,48.4,22.6,9.7
,Haralson ,Buchanan,30113,"6,022","3,007","3,015",44.9,"6,022",65,"5,533",259,2,56,9,21,77,"2,781",,"4,779","2,414","2,365",0,11.9,5.9,9.5,57,41605,134,38.8,37.3,20.9,3.0,133,22.6,47.4,25.6,4.5,131,19.8,43.5,25.2,11.5,131,24.4,48.1,19.8,7.6
,Carroll,Providence ,30179,"17,899","9,124","8,775",38.4,"17,899",306,"15,269","2,128",20,117,0,0,59,"6,623",,"13,506","6,563","6,943",0,8.2,2.5,14.9,50.2,41719,68,36.8,32.4,22.1,8.8,67,16.4,49.3,29.9,4.5,67,22.4,29.9,37.3,10.4,67,22.4,34.3,25.4,17.9
,Carroll,Bowdon ,30108,"7,508","3,544","3,964",44.6,"7,508",45,"6,317",871,52,25,7,26,165,"3,296",,"5,904","2,709","3,195",0,13,7,11.4,55.5,40987,95,57.9,23.2,13.7,5.3,95,10.5,55.8,28.4,5.3,95,21.1,42.1,28.4,8.4,95,27.4,35.8,24.2,12.6
,Douglas ,Dorsett,30135,"62,587","29,928","32,659",36.3,"62,587","4,290","31,400","23,432",29,"1,522",0,287,"1,627","22,717",,"43,877","20,439","23,438",1,29.9,10.4,9.9,52.4,51707,76,31.6,28.9,27.6,11.8,76,15.8,47.4,27.6,9.2,76,22.4,40.8,22.4,14.5,76,19.7,53.9,19.7,6.6
,Douglas ,Chapel Hill ,30034,"43,922","18,863","25,059",36.9,"43,922",329,"1,564","40,784",0,48,0,11,"1,186","18,146",,"33,339","13,831","19,508",2,25.4,8.8,16.9,34.1,33956,120,34.2,31.7,29.2,5.0,120,14.2,51.7,30.0,4.2,119,14.3,42.9,31.1,11.8,119,16.8,47.9,27.7,7.6
,Douglas ,Beulah ,30134,"44,262","21,114","23,148",34.4,"44,262","3,760","20,521","18,868",33,344,0,142,594,"16,684",,"29,471","13,191","16,280",1,17.7,7.3,10.6,48,40325,69,36.2,34.8,20.3,8.7,70,21.4,45.7,28.6,4.3,70,11.4,58.6,24.3,5.7,69,17.4,68.1,14.5,0.0
,Douglas ,Annette Winn ,30122,"23,422","11,085","12,337",34.6,"23,422","2,945","8,183","11,783",129,260,0,0,122,"9,708",,"15,565","7,330","8,235",1,24,8.3,14,43.2,38351,83,34.9,45.8,14.5,4.8,83,31.3,47.0,16.9,4.8,83,16.9,62.7,14.5,6.0,83,31.3,55.4,10.8,2.4
,Dekalb ,Briar Vista ,30324,"27,587","14,802","12,785",34.2,"27,587","4,481","15,866","4,319",63,"1,931",7,145,775,"15,796",,"20,526","11,361","9,165",2,63,24.9,7.1,31.3,74095,62,35.5,25.8,29.0,9.7,63,28.6,46.0,19.0,6.3,63,34.9,39.7,22.2,3.2,62,35.5,53.2,6.5,4.8
,Dekalb ,Montclair ,30329,"28,017","14,070","13,947",31.0,"28,017","9,899","11,300","3,693",288,"1,887",13,63,874,"13,482",,"13,958","6,345","7,613",2,48.6,23.5,6.4,38.1,63396,159,51.6,32.1,13.2,3.1,162,42.6,40.7,15.4,1.2,162,40.7,48.8,9.9,0.6,159,47.8,45.9,5.7,0.6
,Dekalb ,Ashford Park ,30319,"39,007","18,444","20,563",37.0,"39,007","4,212","28,331","3,170",56,"2,450",0,130,658,"19,920",,"29,203","13,410","15,793",2,71.9,29.6,3.4,46,156870,79,11.4,26.6,38.0,24.1,80,11.3,25.0,47.5,16.3,80,15.0,25.0,35.0,25.0,78,9.0,28.2,24.4,38.5
,Dekalb ,Toney ,30032,"48,787","23,699","25,088",36.9,"48,787","1,618","4,804","40,955",96,187,0,181,946,"20,706",,"37,117","18,071","19,046",2,17,5.8,19.2,28.3,28017,69,66.7,23.2,10.1,0.0,69,58.0,26.1,15.9,0.0,69,65.2,30.4,4.3,0.0,69,58.0,37.7,4.3,0.0
,Dekalb ,Briar Vista ,30324,"27,587","14,802","12,785",34.2,"27,587","4,481","15,866","4,319",63,"1,931",7,145,775,"15,796",,"20,526","11,361","9,165",2,63,24.9,7.1,31.3,74095,62,35.5,25.8,29.0,9.7,63,28.6,46.0,19.0,6.3,63,34.9,39.7,22.2,3.2,62,35.5,53.2,6.5,4.8
,Dekalb ,Rainbow ,30034,"43,922","18,863","25,059",36.9,"43,922",329,"1,564","40,784",0,48,0,11,"1,186","18,146",,"33,339","13,831","19,508",2,25.4,8.8,16.9,34.1,33956,57,50.9,33.3,12.3,3.5,57,47.4,38.6,14.0,0.0,57,49.1,40.4,10.5,0.0,57,52.6,38.6,8.8,0.0
,Dekalb ,Montgomery ,30319,"39,007","18,444","20,563",37.0,"39,007","4,212","28,331","3,170",56,"2,450",0,130,658,"19,920",,"29,203","13,410","15,793",2,71.9,29.6,3.4,46,156870,106,8.5,24.5,34.0,33.0,107,7.5,25.2,43.0,24.3,106,9.4,28.3,37.7,24.5,104,5.8,40.4,28.8,25.0
,Dekalb ,Live Oak ,30016,"52,641","24,983","27,658",34.1,"52,641","2,276","21,163","27,047",95,608,0,17,"1,435","18,763",,"35,729","16,356","19,373",1,19.6,6.2,12,47.3,37896,112,54.5,26.8,16.1,2.7,112,18.8,42.0,34.8,4.5,112,26.8,46.4,24.1,2.7,112,20.5,37.5,27.7,14.3
,Walton ,Loganville ,30052,"59,699","29,092","30,607",36.0,"59,699","4,047","40,953","12,069",46,661,12,237,"1,674","20,857",,"40,822","19,058","21,764",1,23.5,7.4,8.1,57.4,50517,98,20.4,26.5,41.8,11.2,98,13.3,36.7,40.8,9.2,98,15.3,39.8,35.7,9.2,98,18.4,43.9,22.4,15.3
,Walton ,Walker Park ,30656,"16,036","7,486","8,550",37.2,"16,036",275,"12,125","2,874",0,691,0,0,71,"5,941",,"11,720","5,365","6,355",0,18.2,5.7,6.1,55.7,52142,110,40.0,35.5,17.3,7.3,110,23.6,45.5,28.2,2.7,110,24.5,42.7,28.2,4.5,110,28.2,48.2,16.4,7.3
,Rockdale ,Hicks ,30012,"27,233","13,506","13,727",34.1,"27,233","5,072","9,630","11,833",89,293,187,14,115,"10,324",,"17,599","8,397","9,202",1,14,4.5,14.5,41.5,37174,158,39.2,35.4,15.8,9.5,158,22.2,39.2,32.9,5.7,158,22.2,52.5,19.6,5.7,158,31.6,49.4,13.3,5.7
,Rockdale ,Lorraine ,30281,"68,434","32,675","35,759",36.4,"68,434","5,628","27,903","30,070",153,"2,354",0,247,"2,079","25,907",,"47,574","22,123","25,451",1,25.7,7.6,10.7,47.4,44166,120,8.3,24.2,47.5,20.0,120,5.0,31.7,47.5,15.8,120,5.8,36.7,41.7,15.8,120,6.7,34.2,37.5,21.7
,Clayton ,Callaway ,30238,"37,257","17,622","19,635",31.2,"37,257","3,852","5,417","26,290",43,655,0,57,943,"13,440",,"23,320","10,704","12,616",1,18.1,5.9,15.2,40.6,31203,109,40.4,28.4,25.7,5.5,125,33.6,41.6,20.8,4.0,125,33.6,44.8,16.8,4.8,125,30.4,45.6,13.6,10.4
,Clayton ,Brown ,30238,"37,257","17,622","19,635",31.2,"37,257","3,852","5,417","26,290",43,655,0,57,943,"13,440",,"23,320","10,704","12,616",1,18.1,5.9,15.2,40.6,31203,144,45.1,35.4,15.3,4.2,146,31.5,52.7,14.4,1.4,146,35.6,45.9,14.4,4.1,146,31.5,44.5,20.5,3.4
,Clayton ,Tara ,30260,"26,884","12,615","14,269",34.0,"26,884","3,256","4,415","13,696",165,"4,649",0,10,693,"10,069",,"17,741","8,243","9,498",1,13.7,3.1,13.3,37,28600,129,55.8,30.2,12.4,1.6,129,34.9,47.3,17.1,0.8,129,41.9,47.3,10.1,0.8,130,48.5,43.1,7.7,0.8
,Newton ,Rocky Plains ,30016,"52,641","24,983","27,658",34.1,"52,641","2,276","21,163","27,047",95,608,0,17,"1,435","18,763",,"35,729","16,356","19,373",1,19.6,6.2,12,47.3,37896,112,20.5,30.4,40.2,8.9,112,9.8,42.0,41.1,7.1,112,15.2,41.1,42.0,1.8,111,11.7,51.4,27.9,9.0
,Newton ,Middle Ridge ,30014,"37,433","17,670","19,763",36.6,"37,433","2,310","21,616","12,800",44,186,0,53,424,"14,501",,"26,439","12,000","14,439",0,19.3,7,11.4,44.8,45194,132,52.3,30.3,15.9,1.5,132,42.4,44.7,12.1,0.8,132,43.2,43.2,12.9,0.8,132,41.7,42.4,11.4,4.5
,Henry ,Ola ,30252,"41,595","19,828","21,767",37.9,"41,595","1,948","28,884","9,432",0,435,0,132,764,"14,282",,"29,186","13,865","15,321",1,28.3,10.7,9,59,60473,125,22.4,36.0,35.2,6.4,124,14.5,35.5,46.8,3.2,124,12.9,48.4,29.8,8.9,124,15.3,43.5,29.0,12.1
,Henry ,Cotton Indian ,30281,"68,434","32,675","35,759",36.4,"68,434","5,628","27,903","30,070",153,"2,354",0,247,"2,079","25,907",,"47,574","22,123","25,451",1,25.7,7.6,10.7,47.4,44166,121,44.6,30.6,19.0,5.8,122,28.7,50.0,17.2,4.1,122,32.8,50.0,13.9,3.3,121,33.9,48.8,14.0,3.3
,Henry ,New Hope ,30248,"23,330","11,395","11,935",33.8,"23,330","1,057","16,354","5,282",0,256,0,63,318,"8,088",,"16,296","7,762","8,534",0,21.5,4.4,9.2,54,51697,113,16.8,38.1,41.6,3.5,111,12.6,45.9,37.8,3.6,112,12.5,42.9,37.5,7.1,112,16.1,47.3,21.4,15.2
,Henry ,Tussahaw,30252,"41,595","19,828","21,767",37.9,"41,595","1,948","28,884","9,432",0,435,0,132,764,"14,282",,"29,186","13,865","15,321",1,28.3,10.7,9,59,60473,102,32.4,25.5,26.5,15.7,102,23.5,45.1,27.5,3.9,102,24.5,40.2,30.4,4.9,102,25.5,52.0,11.8,10.8
,Fayette,Sara Harp Min ,30215,"33,614","16,158","17,456",43.8,"33,614","1,172","23,529","6,952",77,"1,023",0,68,793,"12,225",,"24,451","11,315","13,136",1,42.6,14.6,6.1,61.6,82281,115,19.1,27.8,41.7,11.3,116,11.2,34.5,43.1,11.2,116,12.9,41.4,32.8,12.9,116,14.7,43.1,25.9,16.4
,Fayette,Oak Grove ,30345,"24,528","12,713","11,815",34.1,"24,528","5,226","12,937","4,066",22,"1,634",0,60,583,"11,045",,"15,547","7,816","7,731",2,55.1,25.9,7,46.1,87812,65,10.8,27.7,50.8,10.8,66,6.1,37.9,47.0,9.1,66,13.6,25.8,40.9,19.7,65,15.4,36.9,32.3,15.4
,Heard ,Ctrl Hatchee,30217,"9,640","4,791","4,849",38.8,"9,640",250,"7,933","1,171",2,4,0,0,280,"4,197",,"7,171","3,521","3,650",0,10.7,3.8,11.9,37.6,39066,26,15.4,42.3,26.9,15.4,26,3.8,46.2,30.8,19.2,26,7.7,53.8,15.4,23.1,26,3.8,50.0,34.6,11.5
,Coweta ,Arbor Springs ,30265,"33,553","16,133","17,420",38.5,"33,553","2,049","25,097","4,366",0,"1,049",0,259,733,"12,925",,"23,826","11,322","12,504",1,37.3,12.7,7,62.4,67067,72,9.7,22.2,50.0,18.1,73,6.8,43.8,35.6,13.7,73,6.8,35.6,45.2,12.3,71,7.0,35.2,42.3,15.5
,Coweta ,Brooks ,30265,"33,553","16,133","17,420",38.5,"33,553","2,049","25,097","4,366",0,"1,049",0,259,733,"12,925",,"23,826","11,322","12,504",1,37.3,12.7,7,62.4,67067,109,11.0,22.9,39.4,26.6,109,4.6,29.4,50.5,15.6,109,4.6,28.4,42.2,24.8,109,8.3,20.2,37.6,33.9
,Coweta ,White Oak ,30518,"48,445","23,858","24,587",35.6,"48,445","9,961","28,594","5,292",37,"2,969",0,102,"1,490","17,442",,"29,709","14,138","15,571",1,31.8,10.5,8.1,54.6,58110,116,26.7,41.4,27.6,4.3,117,12.8,43.6,41.0,2.6,116,21.6,43.1,26.7,8.6,115,19.1,42.6,23.5,14.8
,Butts,Stark ,30233,"22,318","11,758","10,560",41.7,"22,318",723,"16,027","5,121",7,136,0,181,123,"9,082",,"17,734","9,533","8,201",0,11.1,4.2,12.4,49.2,43890,95,44.2,38.9,14.7,2.1,95,37.9,38.9,21.1,2.1,95,33.7,41.1,22.1,3.2,94,36.2,46.8,11.7,5.3
,Spalding ,Moreland Road ,30259,"2,764","1,276","1,488",45.9,"2,764",8,"2,556",160,2,0,0,0,38,"1,200",,"2,257","1,047","1,210",0,16,7.7,3.2,63.2,56292,70,34.3,41.4,15.7,8.6,70,21.4,40.0,31.4,7.1,70,31.4,44.3,15.7,8.6,70,44.3,40.0,11.4,4.3
,Spalding ,Anne Street ,30224,"24,603","11,959","12,644",37.5,"24,603",628,"16,800","6,675",34,139,0,0,327,"10,222",,"18,219","8,500","9,719",0,21.6,8.6,9.3,51,47324,65,56.9,30.8,12.3,0.0,65,41.5,47.7,10.8,0.0,65,32.3,60.0,6.2,1.5,65,21.5,58.5,16.9,3.1
,Jasper ,Washington Park ,31064,"9,275","4,573","4,702",37.7,"9,275",456,"6,267","2,358",12,44,0,0,138,"4,248",,"6,642","3,244","3,398",0,13.1,5.7,13.7,52.7,43646,177,41.2,29.4,22.0,7.3,178,26.4,47.2,23.0,3.4,178,26.4,49.4,16.9,7.3,178,33.1,50.0,11.8,5.1
,Lamar ,Lamar ,30204,"12,813","5,818","6,995",38.1,"12,813",94,"7,237","5,008",40,114,0,13,307,"5,303",,"10,116","4,582","5,534",0,17.3,5.5,15.3,42.4,38571,200,33.0,39.5,21.0,6.5,200,22.5,37.5,32.0,8.0,200,23.5,43.5,27.0,6.0,200,20.0,52.5,19.0,8.5
